rank,track_name,artist,popularity,streams,danceability,energy,tempo,valence,tempo_norm
1,Feel the Way I Do,Primer,63,9934845,0.7396056983613479,0.6986125954092193,94.52332664309255,0.6000985700691753,0.11487880925801762
2,Combust,Lauv,51,9896761,0.6634082838594579,0.5922376579375526,112.42838419022354,0.6192896418993952,0.3418807247880229
3,She Doesn't Mind,Sean Paul,78,9704434,0.7577226245720832,0.5484616999541062,113.83113870251815,0.41399505568430184,0.35966497152786414
4,12 to 12,sombr,90,9639483,0.862763582768963,0.7417514433261302,105.55900915401085,0.5964507394322007,0.2547901757847809
5,"Koi Naa (From ""Bhool Chuk Maaf"")",Tanishk Bagchi,54,9551881,0.6519015950331998,0.8046499283743926,117.09685719001183,0.6086144946597363,0.4010680415985104
6,Love Potions x Tipsy,fedo DJ,48,9389012,0.6519035651660984,0.7896920178674298,127.2729154226617,0.4071297163947265,0.5300810149037282
7,Sweet Heat Lightning,Gregory Alan Isakov,78,9247752,0.869505537860887,0.5241173715166043,153.95134622178955,0.9231549022289514,0.8683125385274598
8,When Did You Get Hot?,Sabrina Carpenter,89,8795134,0.7720921674983491,0.6036181436223178,123.1424006309731,0.6447665841823575,0.47771398020583783
9,F1,Hans Zimmer,65,8265760,0.6236630736878058,0.6996895147105346,124.63590703300976,0.3117393005594703,0.49664878749289804
10,Chains of Love,Charli xcx,77,8249903,0.7451072052303158,0.7963317690683539,118.65997351620899,0.681310721726766,0.4208853697086809
11,"I Love You, I'm Sorry - Live From Vevo",Gracie Abrams,67,8102173,0.6243898768625046,0.5781238643232065,85.46211812461726,0.35506366595453576,0.0
12,Iris,The Goo Goo Dolls,93,7953757,0.6241124295715692,0.6221511535004275,119.5227502419141,0.7074169207484905,0.4318237299398183
13,Mera Mann Kehne Laga,Falak Shabbir,62,7195200,0.7090354725879241,0.48404975389909577,121.08414377893848,0.7817191158014809,0.4516192163752975
14,Mimosa 2000,Furacão 2000,83,7189573,0.4504063706410643,0.47056900638789945,164.33835802473516,0.385863536329658,1.0
15,Slow Dancing in a Burning Room,John Mayer,75,7180142,0.47300986009843615,0.7718788733591297,116.5375026339398,0.7426752258488645,0.3939764946791801
16,SENTO,QMIIR,54,6692493,0.6125254964910833,0.8534360042856235,125.42785216200502,0.6325561853872997,0.5066891384274521
17,Sugar Talking,Sabrina Carpenter,79,6558956,0.5584602655598692,0.6391984817629499,119.37518814530561,0.714412031998898,0.4299529245262319
18,Maahi Ve,A.R. Rahman,71,6387408,0.7177096799114329,0.8005299346838036,98.96379532284843,0.9293585965307896,0.1711754669762216
19,Swimming Pools (Drank),Kendrick Lamar,84,6287118,0.5710371109374548,0.7042454037571452,140.57081066127037,0.500922376799426,0.6986729160319766
20,Vision - Slowed,Hucci,57,6165679,0.510523555839765,0.5532320368092314,133.53479458836193,0.3992527671285021,0.6094696771121416
21,Victory Lap Five,Fred again..,67,5975026,0.8558778522705865,0.7042093408262621,134.23857504677486,0.3720971140748954,0.6183922684945925
22,"Barbaad (From ""Saiyaara"")",The Rish,79,5897590,0.6529068439416158,0.8807054849698954,103.63102581369469,0.3868379430069124,0.23034703114759242
23,Rani,MALFNKTION,45,5892472,0.6881033845625509,0.6446260941335072,145.25029759684978,0.5345796581171792,0.7579998685021387
24,TIT FOR TAT,Tate McRae,84,5834357,0.5090302176543853,0.884696548372101,94.76668086973895,0.6182303949633288,0.11796407583455025
25,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,62,5465150,0.6146740730569782,0.2570382343865384,130.56342768840486,0.6053381598660038,0.5717984227049873
26,Maui Wowie,Kid Cudi,75,5100673,0.693310710765184,0.7732853756562836,159.42820126457963,0.7154366498072048,0.9377485949333623
27,Manchild,Sabrina Carpenter,88,5040479,0.5418807707093237,0.6630570602357257,102.1703461476476,0.5526003783755814,0.21182840414538281
28,Character Dheela,Pritam,73,4977266,0.7250837622014806,0.6051488974301199,109.80664086715011,0.8407068154314634,0.30864202925190987
29,Diet Pepsi,Addison Rae,82,4467366,0.6079233572097434,0.6637641164803254,121.79372457157754,0.4970686333524088,0.4606153449120738
30,Reminder,The Weeknd,83,4334817,0.6449967500248068,0.3518646628098661,110.93743822590841,1.0,0.32297837895861803
